dataset,model_id,item_block,RMSSE,WAPE,MAE,nodes
Favorita,global_lightgbm,item_block_07,2.571632548525378,0.7823396203046504,12.87619497000225,3
Favorita,global_lightgbm,item_block_08,1.412259979300471,0.8361553539636952,10.004200555975476,3
Favorita,global_lightgbm,item_block_09,0.9374533979792281,0.6287935891509466,4.726463130542211,3
Favorita,global_lightgbm,item_block_10,1.3300466696315218,1.0186900157859549,5.5933342755786954,3
Favorita,global_lightgbm,item_block_11,0.6456367179069069,1.3891970403722664,7.6852510079504945,3
Favorita,global_lightgbm,item_block_12,1.0611713053079947,0.3342652529839904,28.13840473833538,3
Favorita,global_lightgbm,item_block_13,0.7245218540370018,0.42680857747808654,25.249580250846016,3
Favorita,global_lightgbm,item_block_14,1.3656907507693248,7.784647967876784,3.801204354043991,3
Favorita,global_lightgbm,item_block_15,1.3711078762455353,1.3189095040401553,2.9451669946549432,3
Favorita,global_lightgbm,item_block_16,0.7498830955069887,14.822607167172004,4.250109175841014,3
Favorita,global_lightgbm,item_block_17,0.2157284756073073,0.5259000844285635,4.524564228360615,3
Favorita,global_lightgbm,item_block_18,0.6098080120157243,0.3801154708128793,17.75952637195587,3
Favorita,global_lightgbm,item_block_19,0.5674018628145734,0.5204764423294926,4.025125291612413,3
Favorita,global_lightgbm,item_block_20,0.46388338681558206,1.4002987512271698,4.482779231336382,3
Favorita,global_lightgbm,item_block_21,0.8905555343438587,1.293862907396251,3.4634729273735534,3
Favorita,global_lightgbm,item_block_22,0.5755174891636636,0.7878401979289029,6.888202135525052,3
Favorita,global_lightgbm,item_block_23,0.8072349094760379,0.978857540520827,3.531663349696568,3
Favorita,global_lightgbm,item_block_24,0.2967382135939368,1.373344635954931,3.981316165318565,3
Favorita,global_lightgbm,item_block_25,0.6258567013136938,0.32101696430547927,4.342096809356931,3
Favorita,global_lightgbm,item_block_26,1.2796610795680177,1.7696095417407043,3.328542747194805,3
Favorita,global_lightgbm,item_block_27,0.6523536911783658,0.8679820705825662,8.23521161836291,3
Favorita,global_lightgbm,item_block_28,0.8547438896141725,0.46894404210422524,4.218875517920842,3
Favorita,global_lightgbm,item_block_29,0.9320321554653103,0.40035188908496616,4.462061700366792,3
Favorita,gts_native,item_block_00,0.6203860438635815,0.657565416720662,14.513444967370814,3
Favorita,gts_native,item_block_01,1.595797547202004,0.6533103446790385,6.076954335289657,3
Favorita,gts_native,item_block_02,0.8254651566289242,0.6843488731914831,1.5876191334118919,3
Favorita,gts_native,item_block_03,1.1340008702641622,0.672962806605883,182.70546062661228,3
Favorita,gts_native,item_block_04,0.5586834459023631,0.8185069603034859,3.766215187374246,3
Favorita,gts_native,item_block_05,0.6210818477582498,0.6976253859842286,5.001991266611392,3
Favorita,gts_native,item_block_06,1.3870636595512646,0.6195582907282188,11.81011565210958,3
Favorita,gts_native,item_block_07,2.5337201971021837,0.6718415970072095,12.050473442153326,3
Favorita,gts_native,item_block_08,1.310267430278654,0.7279459390436869,9.15075549845973,3
Favorita,gts_native,item_block_09,0.8884108641188208,0.5353258675441234,4.312437114576814,3
Favorita,gts_native,item_block_10,1.1660607802639837,0.8378430084111,4.753210971957916,3
Favorita,gts_native,item_block_11,0.3625751402656839,1.0574662619811912,3.9771531147906365,3
Favorita,gts_native,item_block_12,1.3907762677844657,0.4474061446601174,38.70823705322528,3
Favorita,gts_native,item_block_13,0.831043814997828,0.4668856936118082,28.198623211926254,3
Favorita,gts_native,item_block_14,0.492203965944698,1.81246862807172,1.2527519492594164,3
Favorita,gts_native,item_block_15,1.0044319901204846,0.7553018365510498,2.2178985143780077,3
Favorita,gts_native,item_block_16,0.4307932669417842,2.368871323624399,1.9438229527634878,3
Favorita,gts_native,item_block_17,0.21255599357143004,0.5061289951857778,4.71579103116636,3
Favorita,gts_native,item_block_18,0.7277599655308781,0.5488030106134036,25.27529869587333,3
Favorita,gts_native,item_block_19,0.525641001518481,0.5074628592594917,4.035433812431557,3
Favorita,gts_native,item_block_20,0.3459818604180725,0.7246698083609084,2.7525703299928597,3
Favorita,gts_native,item_block_21,0.5601972153332109,0.6264767028927565,1.8838814692522485,3
Favorita,gts_native,item_block_22,0.5086223984845719,0.6680827873170825,5.823337255962311,3
Favorita,gts_native,item_block_23,0.6424257308283223,0.6741668444699452,2.5849449731133602,3
Favorita,gts_native,item_block_24,0.21025099911812759,0.7425678395060251,2.487283178343975,3
Favorita,gts_native,item_block_25,0.7623325213084617,0.3835631984033514,5.223199721997378,3
Favorita,gts_native,item_block_26,0.695029706234523,0.8167792370822711,1.6580726073847876,3
Favorita,gts_native,item_block_27,0.5786011163404958,0.6098511083283811,6.203579478162937,3
Favorita,gts_native,item_block_28,0.7893033721137982,0.4593458271754219,4.464046415197786,3
Favorita,gts_native,item_block_29,0.9644683645446889,0.44277596057210666,4.926863318713254,3
Favorita,gts_no_graph,item_block_00,0.585283496388358,0.6042418177613007,13.435808401889902,3
Favorita,gts_no_graph,item_block_01,1.5237691637627917,0.6245198830195423,5.827329251816663,3
Favorita,gts_no_graph,item_block_02,0.7810414331199349,0.6576251729334059,1.518890766101697,3
Favorita,gts_no_graph,item_block_03,0.8093496315554816,0.4403926996571807,118.90199149348747,3
Favorita,gts_no_graph,item_block_04,0.5072651063169076,0.7095946229092667,3.2992567823677468,3
Favorita,gts_no_graph,item_block_05,0.5868697951377816,0.6632330295410118,4.70419714122853,3
Favorita,gts_no_graph,item_block_06,1.3760013006687335,0.6120764196085143,11.624577534892572,3
Favorita,gts_no_graph,item_block_07,2.512489899825346,0.6799572306338715,12.0185336940503,3
Favorita,gts_no_graph,item_block_08,1.2737696650580421,0.6703436618625358,8.5305844308838,3
Favorita,gts_no_graph,item_block_09,0.8216083946084611,0.49749307859680836,4.028931577054281,3
Favorita,gts_no_graph,item_block_10,1.1163498269338399,0.7983011451697961,4.528443274792855,3
Favorita,gts_no_graph,item_block_11,0.37399112732125805,1.0512435425386895,4.251468933470148,3
Favorita,gts_no_graph,item_block_12,1.1458835847957514,0.36240148673967854,31.02112994433711,3
Favorita,gts_no_graph,item_block_13,0.7437787588356948,0.40764082123940676,24.387213920159315,3
Favorita,gts_no_graph,item_block_14,0.3770150722462127,1.419743320717641,0.9585929245647369,3
Favorita,gts_no_graph,item_block_15,0.8531452856859995,0.5819064450254816,1.9057598448304274,3
Favorita,gts_no_graph,item_block_16,0.39965210183520905,3.395043959840396,1.7389944406921074,3
Favorita,gts_no_graph,item_block_17,0.20021165060530008,0.49772898469387356,4.54096318931176,3
Favorita,gts_no_graph,item_block_18,0.722791003788876,0.5363539626179772,24.517763130071145,3
Favorita,gts_no_graph,item_block_19,0.4818792468368303,0.46451548171310797,3.705097210470331,3
Favorita,gts_no_graph,item_block_20,0.33162339411150094,0.760506844396637,2.733342199729233,3
Favorita,gts_no_graph,item_block_21,0.5199407938325437,0.599034939006867,1.7587316067761216,3
Favorita,gts_no_graph,item_block_22,0.48372864994192416,0.6121244635489048,5.390240047028455,3
Favorita,gts_no_graph,item_block_23,0.6196045355508645,0.6836422514973307,2.5218908846299484,3
Favorita,gts_no_graph,item_block_24,0.18462741058026919,0.6402561828710028,2.150348598206485,3
Favorita,gts_no_graph,item_block_25,0.6544576465276547,0.33278996424391305,4.543740509679078,3
Favorita,gts_no_graph,item_block_26,0.6084635494271672,0.7224860508900152,1.5130364147443618,3
Favorita,gts_no_graph,item_block_27,0.556728298258904,0.61747321295155,6.136530726359634,3
Favorita,gts_no_graph,item_block_28,0.7358825395526213,0.43197066025930647,4.1361696985032825,3
Favorita,gts_no_graph,item_block_29,0.8338319312892196,0.36514777939454146,4.0065955302071945,3
Favorita,gts_placebo,item_block_00,0.6047964087950469,0.615697459821891,13.70147412731534,3
Favorita,gts_placebo,item_block_01,1.5364330141584122,0.6293885479328671,5.883209420259668,3
