dataset,model_id,RMSSE_origin_mean,RMSSE_origin_sd,RMSSE_origin_min,RMSSE_origin_max,WAPE_origin_sd,MAE_origin_sd
M5,global_lightgbm,0.7729551276729341,0.08982009702234585,0.6898504803326487,0.8682462922492474,0.9928274404420228,0.6611767035776495
M5,gts_native,0.68402996574528,0.08675668463102663,0.5985361714782284,0.7719966669975179,0.17216265684011464,1.2484829661017478
M5,gts_no_graph,0.6298096735908291,0.10542825661920655,0.5350135483708995,0.7433544540047095,0.17202703715451517,1.133027689854995
M5,gts_placebo,0.6603193277553066,0.09001900889119556,0.5639540427346601,0.7422469083144739,0.13344843118007998,1.386890118955863
M5,itransformer,0.6752661265184684,0.11463346078698818,0.5825844185931975,0.8034507712904441,0.11471007041089298,1.3150382939187866
M5,mage_native,0.6383547137489716,0.11106799390858711,0.5518336155339466,0.7636010783590906,0.18005967582605004,0.9505546223679736
M5,mage_no_graph,0.6467682587216917,0.11033052243331762,0.5630470866026758,0.771790724177185,0.1901122055277501,0.977583920979646
M5,mage_placebo,0.6353115298562128,0.10639133559525936,0.5529320356665001,0.7554273847515202,0.1878943216831155,0.9117054339155348
M5,metadata_embedding_tcn,0.6249412343764229,0.10480004957214704,0.5437457458719925,0.7432468924805725,0.201526523543914,0.9517414343250313
M5,mixlinear,0.673370382633507,0.0903738967854864,0.608114494390935,0.7765227410199854,0.29597402264368483,0.8793123716193904
M5,mtgnn_native,0.6206917586580277,0.10118493464558506,0.5561389502292317,0.737307312691461,0.3731057660178533,0.4868969167930889
M5,mtgnn_no_graph,0.6176338655007242,0.10110822732491469,0.5590037956305202,0.7343832175718791,0.29516576751422213,0.6162319725672958
M5,mtgnn_placebo,0.6215846641861765,0.10425912586752556,0.557927706909534,0.7419050021640455,0.3163302476902239,0.6007259251903782
M5,nlinear,0.6845291424446721,0.09520640570453114,0.6027471764829695,0.7890443520986624,0.12398013632563873,1.1992376675037333
M5,patchtst,0.6400033538241519,0.1148707186367426,0.5553377128795639,0.7707617301765378,0.09745700036592758,1.2122308836486513
M5,seasonal_naive,0.7742189866648258,0.10252255764225553,0.6639441430569958,0.8666454011604331,0.43809805803904683,0.7683811164281993
M5,semantic_knn_tcn,0.6217904506381237,0.09470293385750685,0.5416601670767012,0.7262993580094165,0.19679050926654204,0.9583844916961548
M5,semantic_placebo_tcn,0.6318599205677303,0.09377291586366364,0.54202186997193,0.7291258965737049,0.18776366079717446,1.0517025878889557
M5,tcn_business,0.6360019687373896,0.13392302703633757,0.5509552526001605,0.7903764297343203,0.12381572268633327,1.0826843343951702
M5,tcn_no_graph,0.6332821312998235,0.13413124889923134,0.5256187353687783,0.7835380835466927,0.09541606252365468,1.1488198695340845
M5,tcn_stat_confidence,0.6531083927604736,0.14590094537880954,0.5458928246318736,0.8192581793197378,0.13481411093573048,1.1437689523097208
M5,tcn_stat_equal,0.6730990539414098,0.14434547471881037,0.5316659618167092,0.8201905069486016,0.17329205085514138,1.6255207935263787
M5,tcn_stat_placebo,0.6463813931230147,0.14936765233214036,0.5341627633964533,0.8159187905758148,0.08048403513492525,1.1980303421006626
M5,tcn_target_only,0.6618083901280286,0.11734916559380665,0.5430591267473837,0.7777054598450173,0.10934569356193073,1.3473271376852132
M5,timemixerpp,0.6312710474455483,0.11720473942390885,0.5634554975589476,0.7666073161103363,0.17639269884853195,0.9969920827255611
Store Item,dlinear,0.8268827170493812,0.030388114843976112,0.8081783676562985,0.8619457456622514,0.0031785400500407763,0.3951812847521914
Store Item,global_lightgbm,0.8072511284022837,0.03681026185923198,0.7772073251264373,0.8483119008238432,0.005743021549026699,0.4020170074397221
Store Item,gts_native,1.3319328238827601,0.10155759789220824,1.2204460461687603,1.4191717598194244,0.027188561259609466,2.027855874588607
Store Item,gts_no_graph,1.1017908025816647,0.07734552763634496,1.0195812227910188,1.1731200757368991,0.010303208787446687,0.8956301318103387
Store Item,gts_placebo,1.687742741208783,0.3044742920693968,1.4604555187183357,2.0336792352562867,0.053789587555580484,4.162531229894687
Store Item,itransformer,0.9016560167695379,0.11249283947482218,0.8315484086935112,1.0314110953528381,0.0232230177667438,1.4832376944942647
