task_id,dataset,forecast_origin,seed,model_id,coverage,offdiag_edges,matrix_sha256
v1_0514_favorita_20170301_mage_native_s13,Favorita,2017-03-01,13,mage_native,1.0,8010,d6050df49a3a27f1822029a7cc12990a97d630d465fb1cfaab3cd65207d16260
v1_0515_favorita_20170301_mage_native_s29,Favorita,2017-03-01,29,mage_native,1.0,8010,00faef49910e39a2d07b0f73e54a77c8dd4caeb7acba1693802127ef168c61c0
v1_0516_favorita_20170301_mage_native_s47,Favorita,2017-03-01,47,mage_native,1.0,8010,0748e129e0b9372cde887e26271cc76c9601bd5072a3320feace7b7166046e6d
v1_0517_favorita_20170329_mage_native_s13,Favorita,2017-03-29,13,mage_native,1.0,8010,81fbcf08ff41d7e40b8476c6d0a7f49a75bb26bf770f0f199a02f6d379549b1f
v1_0518_favorita_20170329_mage_native_s29,Favorita,2017-03-29,29,mage_native,1.0,8010,3515b86b82ffada331b40059fa333d8e1098a0373309a023433fedc84bee56b1
v1_0519_favorita_20170329_mage_native_s47,Favorita,2017-03-29,47,mage_native,1.0,8010,78481d8720f28b3b987cf9aea783e7d737e07fac185101d537d0bcbbe03e9d16
v1_0520_favorita_20170426_mage_native_s13,Favorita,2017-04-26,13,mage_native,1.0,8010,d7dcdd1455d9c16aded47c396a270bff2976335ce3ecf7d04778d0b5a4ebd2fd
v1_0521_favorita_20170426_mage_native_s29,Favorita,2017-04-26,29,mage_native,1.0,8010,ba81c5057575180d495f6057c9c72e7461f160d317622af06001e3da148bd0d8
v1_0522_favorita_20170426_mage_native_s47,Favorita,2017-04-26,47,mage_native,1.0,8010,5f12f85dd5783a598bd969622e1d4907244b2a98f8b208ded90527f97e0ac6d8
v1_0523_store_item_20170522_mage_native_s13,Store Item,2017-05-22,13,mage_native,1.0,8010,8225ead3dc9a58d4ecfe35eb984e350ec8490a337fe527af18acff990e46efc1
v1_0524_store_item_20170522_mage_native_s29,Store Item,2017-05-22,29,mage_native,1.0,8010,e23604feb319357d1ab609855c2f9a535a318df8692398db5d0901edbe6cafeb
v1_0525_store_item_20170522_mage_native_s47,Store Item,2017-05-22,47,mage_native,1.0,8010,9841fdbd39de4912f60adb3193731b0597bff6c3e0ed63853106af2f8aa24628
v1_0526_store_item_20170619_mage_native_s13,Store Item,2017-06-19,13,mage_native,1.0,8010,c87363ad409a4fcedd9cd50e72b7200211bed5994d42b5cccb0f88a2c1f97937
v1_0527_store_item_20170619_mage_native_s29,Store Item,2017-06-19,29,mage_native,1.0,8010,48df8861387730ec0b86e97ab4961ec07ed4b7ac2cd8bd1cef797e4360d4f847
v1_0528_store_item_20170619_mage_native_s47,Store Item,2017-06-19,47,mage_native,1.0,8010,9423388f8839ed208e9fcc063e725f99c16d35fad2787e1d067dae094cdc4f7b
v1_0529_store_item_20170717_mage_native_s13,Store Item,2017-07-17,13,mage_native,1.0,8010,9d91beab634ccc64d12c719c8c7679135baa8be9b56823c7dff48e206d748cf5
v1_0530_store_item_20170717_mage_native_s29,Store Item,2017-07-17,29,mage_native,1.0,8010,67b3f47991ffdb1cf69b46a9f529cec4dbc61dd2ac54b3d67de53f7ee678ed59
v1_0531_store_item_20170717_mage_native_s47,Store Item,2017-07-17,47,mage_native,1.0,8010,50599f188f6b196c8ed2c0d52c4d4d76d34fb3b03b0e5d052ebd4e6e6bf819cc
v1_0604_m5_20151207_semantic_knn_tcn_s13,M5,2015-12-07,13,semantic_knn_tcn,1.0,450,1076a7dd2443f19bcd5fa1ae05c489fe4abd94768c704b85e642e927b6ee7744
v1_0605_m5_20151207_semantic_knn_tcn_s29,M5,2015-12-07,29,semantic_knn_tcn,1.0,450,1076a7dd2443f19bcd5fa1ae05c489fe4abd94768c704b85e642e927b6ee7744
v1_0606_m5_20151207_semantic_knn_tcn_s47,M5,2015-12-07,47,semantic_knn_tcn,1.0,450,1076a7dd2443f19bcd5fa1ae05c489fe4abd94768c704b85e642e927b6ee7744
