dataset,model_id,seed,RMSSE,WAPE,MAE,origins
Favorita,tcn_no_graph,29,0.8148634935713469,0.5973260497803108,13.187615621846819,3
Favorita,tcn_no_graph,47,0.8560287888574193,0.6474309867836175,14.329190954422115,3
Favorita,tcn_stat_confidence,13,0.753098837365172,0.4861350908587208,10.70316936940339,3
Favorita,tcn_stat_confidence,29,0.7805438841264115,0.4673196383369837,10.318777652861423,3
Favorita,tcn_stat_confidence,47,0.8048066129867956,0.5205549285227254,11.485020240922532,3
Favorita,tcn_stat_equal,13,0.7530205903533402,0.4755679376161021,10.466799993966287,3
Favorita,tcn_stat_equal,29,0.7795373039358066,0.47798316769412147,10.550234021066082,3
Favorita,tcn_stat_equal,47,0.7887710343478328,0.5067279851441869,11.187427864947097,3
Favorita,tcn_stat_placebo,13,0.7688159315387771,0.49087082370054524,10.834051996980001,3
Favorita,tcn_stat_placebo,29,0.8266182699608443,0.527844589759771,11.632030564846184,3
Favorita,tcn_stat_placebo,47,0.7985023365385918,0.5083214191655605,11.206587143798197,3
Favorita,tcn_target_only,13,0.7641893822398891,0.445955508193407,9.840293176785584,3
Favorita,tcn_target_only,29,0.7506841916768708,0.4281617979610823,9.437531318531308,3
Favorita,tcn_target_only,47,0.7560069527771892,0.4145353001303205,9.147602099829683,3
Favorita,timemixerpp,13,0.7435895346546134,0.40317147498447214,8.901817563031283,3
Favorita,timemixerpp,29,0.7585845568983324,0.419578220250806,9.275288188014988,3
Favorita,timemixerpp,47,0.7349758172148023,0.39114915131458944,8.6379408735299,3
M5,dlinear,13,0.6634183007080009,0.855851202807688,3.0629719648194853,3
M5,dlinear,29,0.6576296707143175,0.8405863280955584,3.089236197561499,3
M5,dlinear,47,0.6581190190417875,0.8312041520484819,3.0781784987323504,3
M5,global_lightgbm,13,0.7729551276729341,1.2440058636890658,3.652896834858668,3
M5,gts_native,13,0.6853443519695425,0.9131599022740434,3.433841157201639,3
M5,gts_native,29,0.6741777989598327,0.9756719431098345,3.4445036859663016,3
M5,gts_native,47,0.692567746306465,0.8994710748045027,3.387109921344374,3
